nazwa_produktu,cena_gospodarstwa,cena_detaliczna_atlanta,cena_detaliczna_chicago,cena_detaliczna_los_angeles,cena_detaliczna_nowy_jork,srednia_marza
Strawberries,0.588235294117647,3.24,2.74,3.49,5.24,61.29%
Strawberries,0.4761904761904762,2.72,2.34,3.49,4.66,75.66%
Strawberries,0.4397759103641457,3.01,2.62,2.87,3.37,69.57%
Strawberries,0.31652661064425774,2.36,0.0,0.0,0.0,-54.96%
Strawberries,0.31652661064425774,2.36,2.57,3.12,2.49,101.15%
Strawberries,0.2745098039215686,2.81,2.29,2.62,2.96,130.17%
Strawberries,0.20448179271708689,2.48,1.87,2.5,3.24,177.20%
Strawberries,0.20448179271708689,2.48,1.87,2.5,3.24,177.20%
Strawberries,0.20448179271708689,2.61,2.37,2.62,3.24,197.80%
Strawberries,0.21288515406162467,2.73,2.67,2.62,2.99,192.82%
Strawberries,0.25490196078431376,2.29,2.75,2.87,2.37,135.78%
Strawberries,0.2661064425770308,2.32,2.32,2.75,3.24,135.18%
Strawberries,0.2745098039215686,2.32,2.62,2.75,2.62,122.20%
Strawberries,0.2745098039215686,2.16,2.79,2.0,3.36,122.20%
Strawberries,0.23809523809523814,2.5,2.09,2.75,2.99,150.73%
Strawberries,0.19607843137254904,2.39,2.17,2.37,2.49,167.61%
Strawberries,0.19607843137254904,2.31,2.07,2.87,2.99,190.91%
Strawberries,0.2661064425770308,2.31,2.63,2.37,3.15,131.42%
Strawberries,0.28291316526610644,2.34,2.29,2.87,2.12,102.10%
Strawberries,0.30532212885154064,2.33,1.86,2.0,1.75,56.30%
Strawberries,0.30532212885154064,2.34,2.25,2.56,2.86,97.05%
Strawberries,0.2969187675070028,2.45,2.26,2.31,3.74,116.94%
Strawberries,0.2296918767507003,2.37,2.62,2.06,2.37,135.50%
Strawberries,0.2969187675070028,2.45,2.26,2.31,3.74,116.94%
Strawberries,0.29971988795518206,2.74,2.64,2.75,2.49,112.40%
Strawberries,0.18207282913165262,2.24,2.77,2.37,3.36,223.49%
Strawberries,0.2184873949579832,1.86,2.57,2.62,3.11,164.58%
Strawberries,0.29971988795518206,1.91,2.09,3.12,2.99,102.20%
Strawberries,0.257703081232493,2.16,2.19,2.12,2.49,103.64%
Strawberries,0.29971988795518206,1.67,1.91,2.75,2.87,84.00%
Strawberries,0.2661064425770308,2.29,3.19,2.25,2.62,128.98%
Strawberries,0.2661064425770308,3.49,2.87,3.37,3.49,192.48%
Strawberries,0.3697478991596639,2.99,2.62,2.99,3.49,101.50%
Strawberries,0.5098039215686274,3.24,2.99,3.99,3.37,69.88%
Strawberries,0.5098039215686274,2.87,3.43,2.87,3.37,56.75%
Strawberries,0.5798319327731092,3.11,3.49,3.33,4.24,57.44%
Strawberries,0.6162464985994397,3.36,2.75,3.62,3.24,36.24%
Strawberries,0.6162464985994397,3.36,2.75,3.62,3.24,36.24%
Strawberries,0.6162464985994397,3.36,3.44,3.49,3.99,50.00%
Strawberries,0.6162464985994397,3.54,4.24,3.99,4.99,76.05%
Strawberries,0.7563025210084033,3.86,3.87,3.99,4.66,42.19%
Strawberries,0.6162464985994397,3.35,3.62,3.87,4.74,63.66%
Strawberries,0.5462184873949579,3.61,3.49,3.62,4.74,81.46%
Strawberries,0.6610644257703081,3.39,3.62,3.62,4.74,51.28%
Strawberries,0.48739495798319327,3.14,3.37,3.62,4.74,93.62%
Strawberries,0.34173669467787116,3.06,3.49,2.75,4.11,139.46%
Strawberries,0.4621848739495799,3.14,3.37,3.24,4.11,89.34%
Strawberries,0.34173669467787116,3.06,3.49,2.75,4.11,139.46%
Strawberries,0.3473389355742297,3.14,3.32,2.99,4.11,138.73%
Strawberries,0.3585434173669468,2.94,3.32,2.84,3.99,124.14%
Strawberries,0.3361344537815126,3.01,3.24,2.72,4.74,148.37%
Strawberries,0.3445378151260504,2.89,3.24,3.24,4.24,141.31%
Strawberries,0.3865546218487395,3.09,2.5,2.99,4.32,106.73%
Strawberries,0.35294117647058826,3.09,2.41,2.99,4.37,123.26%
Strawberries,0.3361344537815126,2.62,2.38,2.87,3.24,101.27%
Strawberries,0.2913165266106443,2.16,2.66,2.87,3.74,134.22%
Strawberries,0.23809523809523814,2.24,2.66,2.62,2.99,155.10%
